source,target,weight
juliesandler,sonalpmane,1
juliesandler,Kristen_Hammy,1
BradSmi,rachelerman,1
BradSmi,toddbishop,1
BradSmi,akipman,1
BradSmi,mattmday,1
BradSmi,Rich_Barton,1
BradSmi,etzioni,1
BradSmi,hadip,1
BradSmi,RajSinghSeattle,1
crashdev,rachelerman,1
crashdev,toddbishop,1
crashdev,matt_oppy,1
crashdev,juliesandler,1
crashdev,john_gabbert,1
crashdev,Rich_Barton,1
crashdev,lovelletters,1
crashdev,etzioni,1
crashdev,heatherredman,1
crashdev,danshapiro,1
crashdev,medinism,1
crashdev,RajSinghSeattle,1
crashdev,kirbywinfield,1
crashdev,stevesi,1
crashdev,Kristen_Hammy,1
crashdev,eugenio_pace,1
ShaunaCausey,rachelerman,1
ShaunaCausey,mattmcilwain,1
ShaunaCausey,DaveParkerSEA,1
ShaunaCausey,toddbishop,1
ShaunaCausey,LeslieFeinzaig,1
ShaunaCausey,matt_oppy,1
ShaunaCausey,juliesandler,1
ShaunaCausey,john_gabbert,1
ShaunaCausey,moniguzman,1
ShaunaCausey,Rich_Barton,1
ShaunaCausey,daryn,1
ShaunaCausey,lovelletters,1
ShaunaCausey,etzioni,1
ShaunaCausey,MissDestructo,1
ShaunaCausey,heatherredman,1
ShaunaCausey,KieranSnyder,1
ShaunaCausey,hadip,1
ShaunaCausey,RajSinghSeattle,1
ShaunaCausey,stevesi,1
ShaunaCausey,SoGulley,1
ShaunaCausey,jinman,1
ShaunaCausey,Jenerationy,1
ShaunaCausey,lanctot,1
ShaunaCausey,Kristen_Hammy,1
ShaunaCausey,PeterHamilton,1
ShaunaCausey,sarahstood,1
ShaunaCausey,mcolacurcio,1
ShaunaCausey,marybethlambert,1
john_gabbert,rachelerman,1
john_gabbert,toddbishop,1
john_gabbert,matt_oppy,1
john_gabbert,juliesandler,1
john_gabbert,crashdev,1
john_gabbert,ShaunaCausey,1
moniguzman,rachelerman,1
moniguzman,toddbishop,1
moniguzman,ashannstew,1
moniguzman,LeslieFeinzaig,1
moniguzman,gilbert,1
moniguzman,juliesandler,1
moniguzman,ShaunaCausey,1
moniguzman,mattmday,1
moniguzman,Rich_Barton,1
moniguzman,daryn,1
moniguzman,lovelletters,1
moniguzman,MissDestructo,1
moniguzman,heatherredman,1
moniguzman,danshapiro,1
moniguzman,hadip,1
moniguzman,RajSinghSeattle,1
moniguzman,stevesi,1
moniguzman,Ryanintheus,1
moniguzman,tarah,1
moniguzman,Jenerationy,1
moniguzman,lanctot,1
moniguzman,sarahstood,1
moniguzman,mcolacurcio,1
mattmday,rachelerman,1
mattmday,mattmcilwain,1
mattmday,toddbishop,1
mattmday,ashannstew,1
mattmday,akipman,1
mattmday,juliesandler,1
mattmday,BradSmi,1
mattmday,moniguzman,1
mattmday,Rich_Barton,1
mattmday,daryn,1
mattmday,medinism,1
mattmday,KieranSnyder,1
Rich_Barton,etzioni,1
Rich_Barton,hadip,1
